127.0.0.1 - - [07/Oct/2019:22:06:51 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:52 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:52 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:52 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:52 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:52 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:53 -0300] "GET /ProjetoTrilhaWeb/pages/site/gerneral/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:53 -0300] "GET /ProjetoTrilhaWeb/pages/site/gerneral/rodape.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:53 -0300] "GET /ProjetoTrilhaWeb/pages/site/gerneral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:53 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:53 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:58 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:58 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:58 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:58 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:58 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:06:58 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:07:00 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:07:00 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 3508
0:0:0:0:0:0:0:1 - - [07/Oct/2019:22:07:04 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 82
