0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 95038
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2881
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 37326
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2881
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 37326
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:23 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 95038
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:25 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:25 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 5688
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:27 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:27 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:27 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:27 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:19:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?id=2 HTTP/1.1" 200 1017
